Date,Price($),Open,High,Low,Volume,Change(%)
2022-04-09T00:00:00Z,42767,42275,42809,42129,165160000,1.16
2022-04-08T00:00:00Z,42275,43450,43979,42113,467830000,-2.7
2022-04-07T00:00:00Z,43448,43166,43893,42747,390850000,0.64
2022-04-06T00:00:00Z,43173,45494,45519,43122,649520000,-5.13
2022-04-05T00:00:00Z,45506,46614,47201,45388,421110000,-2.41
2022-04-04T00:00:00Z,46629,46407,46899,45152,446120000,0.48
2022-04-03T00:00:00Z,46407,45813,47435,45554,398860000,1.3
2022-04-02T00:00:00Z,45811,46299,47212,45641,345930000,-1.05
2022-04-01T00:00:00Z,46297,45529,46728,44261,632930000,1.7
2022-03-31T00:00:00Z,45525,47071,47624,45228,520000000,-3.29
2022-03-30T00:00:00Z,47075,47449,47714,46601,467760000,-0.79
2022-03-29T00:00:00Z,47449,47126,48127,47029,478820000,0.73
2022-03-28T00:00:00Z,47105,46859,48199,46672,610270000,0.52
2022-03-27T00:00:00Z,46859,44542,46947,44445,388790000,5.19
2022-03-26T00:00:00Z,44548,44331,44818,44090,196300000,0.49
2022-03-25T00:00:00Z,44331,44013,45112,43622,494090000,0.72
2022-03-24T00:00:00Z,44013,42911,44251,42658,491660000,2.57
2022-03-23T00:00:00Z,42912,42373,43027,41795,433960000,1.27
2022-05-22T00:00:00Z,42373,41022,43327.9,40893,537060000,3.29
2022-03-21T00:00:00Z,41022,41282,41532,40530,406620000,-0.62
2022-03-20T00:00:00Z,41276,42241,42301,40922,308450000,-2.27
2022-03-19T00:00:00Z,42233,41768,42386,41529.6,224590000,1.11
2022-03-18T00:00:00Z,41767.8,40914.6,42308.4,40234.8,2310000000,2.08
2022-03-17T00:00:00Z,40914.8,41118.7,41406,40557.8,1900000000,-0.5
2022-03-16T00:00:00Z,41118.7,39282.5,41701.6,38953.2,4470000000,4.67
2022-03-15T00:00:00Z,39285.7,39673,39854.7,38220.9,2250000000,-0.97
2022-03-14T00:00:00Z,39671.1,37789.5,39914.3,37613.6,2330000000,4.97
2022-03-13T00:00:00Z,37792.4,38813.2,39272.3,37603.4,1550000000,-2.63
2022-03-12T00:00:00Z,38814.3,38730.2,39355.3,38666.5,1110000000,0.22
2022-03-11T00:00:00Z,38730.2,39422.5,40177,38236.4,2790000000,-1.74
2022-03-10T00:00:00Z,39416.3,41933.9,42029.1,38603.5,3620000000,-5.99
2022-03-09T00:00:00Z,41929,38731.5,42538.5,38663.3,3600000000,8.22
2022-03-08T00:00:00Z,38744.8,38020.6,39351.5,37886.6,2670000000,1.89
2022-03-07T00:00:00Z,38024.8,38420.6,39532,37182.1,3020000000,-0.99
